query SELECT * FROM [histr],,,,,,,,,,,,,
sort,,,,,,,,,,,,,
columns,text Body,text Name of Body,text Date,text Transaction number,Amount,text Supplier name,text Supplier ID,text VAT reg no,text Expense area,text Expense code,text Expense type,text Costcuk,text Creditor type
,Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense code,Expense type,Costcuk,Creditor type
INSERTED DETAIL,18,Devon County Council,07/04/2026,22083052,"62,985.00",STORMFORCE ROOFING & MAINTENANCE,101900,813484923,Capital other - Digital Technology & Business Services,C02009,Works,C0651001,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,07/04/2026,22083106,500.00,National Landscape Association,83283,338382090,"Transport Operations, Environment and Waste",A44038,Fees,R0640011,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22083239,"4,150.00",W D M LIMITED (BRISTOL),4601,433825942,Capital - Highways,C02011,External Professional Fees,C0652001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22083338,563.34,EXETER RUGBY CLUB LTD,34972,918551313,Dedicated Schools Grant,A22010,Hire of Rooms,R0065002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22083459,"2,350.60",TEIGN TREES & LANDSCAPES SOUTH WEST LIMITED,209228,250371238,Highways & Infrastructure Development,A46100,Main / Term Contractor,R0567007,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,07/04/2026,22083785,"5,130.00",LOCAL GOVERNMENT ASSOCIATION,308865,676078107,Finance & Public Value,A16015,Staff Training Expenses - Non Payroll,R0493001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22084234,"15,285.04",MARTIN H W SAFETY FENCING LIMITED,14879,352838537,Highways & Infrastructure Development,A49005,Other Hired & Contracting Services,R0552002,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,07/04/2026,22084393,"4,252.02",VIRGIN MEDIA BUSINESS,69248,591819014,"Chief Exec, Legal & Democratic services",A45045,IT Software Maintenance,R0285001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22084430,756.00,OCEAN HEALTHCARE (TRADING AS TAHER LIMITED),346692,776836374,Children's Social Care,A61200,Community based care,R0044004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,07/04/2026,22085972,"6,525.00",C E D A,12641,,Children's Social Care,A61200,Community based care,R0044004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
