Body,Name of Body,Date,Transaction number, Amount ,Supplier name,Supplier ID,VAT reg no,Expense area,Expense type,Expense code,Costcuk,Creditor type
18,Devon County Council,18/03/2026,150381106," 21,751.34 ",M Group Highways Limited,375383,927200546,Highways & Infrastructure Development,Main / Term Contractor,A46100,R0554001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22077660," 21,908.64 ",NORSE SOUTH WEST LIMITED,279741,785421021,Transformation & Business Services,Main / Term Contractor,A46100,R0334005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079879," 22,155.76 ",SPAGHETTI BRIDGE LIMITED,377380,478673138,Dedicated Schools Grant,Independent Special School Fees,A61052,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079162," 22,278.00 ",FRESHWATER HQ,376673,841001191,Public Health,Payments to Private Contractors,A57115,R0316084,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381086," 22,357.72 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0671005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22076152," 22,500.00 ",YOUNG DEVON (IVYBRIDGE),120708,,P-Ledger - Separate Legal Entity,"Grants to voluntary, community and social enterprise organisations",A52010,P0402004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381119," 22,672.86 ",M Group Highways Limited,375383,927200546,Highways & Infrastructure Development,Main / Term Contractor,A46100,R0560011,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381098," 24,046.47 ",M Group Highways Limited,375383,927200546,Highways & Infrastructure Development,Main / Term Contractor,A46100,R0554004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381121," 24,183.52 ",M Group Highways Limited,375383,927200546,Capital - Highways,Term Maintenance Contract,C02051,C0671007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22081791," 25,517.64 ",CLEANSING SERVICE GROUP LIMITED,18365,369922701,"Transport Operations, Environment and Waste",Main / Term Contractor,A46100,R0601001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22077139," 25,778.49 ",THE LIBRA SCHOOL,136211,478671242,Dedicated Schools Grant,Other Recoupment Expenditure (3rd),A53035,R0111002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22081271," 26,136.00 ",HM Prison & Probation Service,601327,888818055,Children's Social Care,Residential Care - Short Stay,A57145,R0091002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,150381088," 29,259.01 ",M Group Highways Limited,375383,927200546,Highways & Infrastructure Development,Main / Term Contractor,A46100,R0554003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22080910," 30,209.76 ",CLEANSING SERVICE GROUP LIMITED,18365,369922701,"Transport Operations, Environment and Waste",Main / Term Contractor,A46100,R0601001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22082344," 31,381.00 ",KENNFORD TARMACADAM LIMITED,24534,976391178,Capital - Highways,Works,C02009,C0671006,DCC CIS Suppliers
18,Devon County Council,18/03/2026,22078640," 31,494.82 ",SPAGHETTI BRIDGE LIMITED,377380,478673138,Dedicated Schools Grant,Independent Special School Fees,A61052,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22082239," 31,875.00 ",GLOBAL MEDIATION LIMITED,322357,740362359,Dedicated Schools Grant,Other professional Services (Schools),A44185,R0062002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079025," 32,092.58 ",RUNNING DEER COMMUNITY INTEREST COMPANY,293947,289345260,Dedicated Schools Grant,Independent Special School Fees,A61052,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22081934," 33,481.81 ",KINGSLEY SCHOOL,223710,479040477,Dedicated Schools Grant,Independent Special School Fees,A61052,R0089003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22082323," 34,079.91 ",AFIT COMMERCIAL LIMITED,384623,206655022,Capital - Schools Maintenance & Improvements,Works,C02009,C0658001,DCC CIS Suppliers
18,Devon County Council,18/03/2026,22079874," 34,646.72 ",Built by Bison Ltd,283780,975782067,Capital - Highways,Works,C02009,C0652001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22079354," 35,130.83 ",W D M LIMITED (BRISTOL),4601,433825942,Highways & Infrastructure Development,Licences - General,A49075,R0561003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,18/03/2026,22082411," 35,726.88 ",TWIL CIVILS SOUTH WEST (Taylor Woodrow Infrastructure Ltd.),396590,321931874,"Capital - Planning, Transportation and Environment",Works,C02009,C0654001,DCC CIS Suppliers
18,Devon County Council,18/03/2026,22076966," 36,220.51 ",TELENT TECHNOLOGY SERVICES LIMITED,228873,239137065,"Capital - Planning, Transportation and Environment","Furniture, Fittings and Equipment",C04005,C0671011,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
